token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
杨梅籽,S5_30_3,3,tri,,2+1LL_LT,
黄瓜皮,S5_20_3,3,tri,,2+1LL_LT,
樱桃籽,S5_9_3,3,tri,,2+1LL_HTp,
造纸厂,S5_6_tri,tri,tri,,2+1VL_LT,
樱桃皮,S5_23_tri,tri,tri,,2+1LL_HTp,
新书包,S5_42_3,3,tri,,1+2MH_HTp,
樱桃籽,S5_9_tri,tri,tri,,2+1LL_HTp,
老杨梅,S5_8_1,1,tri,,1+2MH_LT,
杨梅籽,S5_30_tri,tri,tri,,2+1LL_LT,
小杨梅,S5_12_tri,tri,tri,,1+2MH_HTs,
新手机,S5_35_tri,tri,tri,,1+2MH_HTp,
新手机,S5_35_2,2,tri,,1+2MH_HTp,
新皮袄,S5_5_2,2,tri,,1+2MH_HTp,
买茶人,S5_41_di_3,di_3,tri,,2+1VL_LT,
苦瓜籽,S5_17_tri,tri,tri,,2+1LL_HTs,
采梅花,S5_3_tri,tri,tri,,1+2VO_HTs,
老青椒,S5_2_di_3,di_3,tri,,1+2MH_LT,
青椒籽,S5_38_1,1,tri,,2+1LL_HTp,
造船厂,S5_28_tri,tri,tri,,2+1VL_LT,
小樱桃,S5_37_3,3,tri,,1+2MH_HTs,
小黄瓜,S5_1_3,3,tri,,1+2MH_HTs,
黄瓜籽,S5_11_di_3,di_3,tri,,2+1LL_LT,
采杨梅,S5_15_1,1,tri,,1+2VO_HTs,
买黄瓜,S5_18_di_3,di_3,tri,,1+2VO_LT,
新书房,S5_19_di_3,di_3,tri,,1+2MH_HTp,
苦瓜籽,S5_17_3,3,tri,,2+1LL_HTs,
老杨梅,S5_8_tri,tri,tri,,1+2MH_LT,
小杨梅,S5_12_1,1,tri,,1+2MH_HTs,
樱桃籽,S5_9_2,2,tri,,2+1LL_HTp,
小樱桃,S5_37_tri,tri,tri,,1+2MH_HTs,
新手机,S5_35_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S5_4_di_3,di_3,tri,,1+2VO_LT,
买茶人,S5_41_3,3,tri,,2+1VL_LT,
草莓籽,S5_10_1,1,tri,,2+1LL_HTs,
黄瓜籽,S5_11_2,2,tri,,2+1LL_LT,
开门人,S5_21_tri,tri,tri,,2+1VL_HTp,
新书房,S5_19_2,2,tri,,1+2MH_HTp,
采樱花,S5_33_tri,tri,tri,,1+2VO_HTs,
黄瓜籽,S5_11_tri,tri,tri,,2+1LL_LT,
苦瓜皮,S5_31_3,3,tri,,2+1LL_HTs,
黄瓜皮,S5_20_tri,tri,tri,,2+1LL_LT,
采梅花,S5_3_di_3,di_3,tri,,1+2VO_HTs,
小苦瓜,S5_34_1,1,tri,,1+2MH_HTs,
新书房,S5_19_1,1,tri,,1+2MH_HTp,
开锁人,S5_43_1,1,tri,,2+1VL_HTp,
苦瓜籽,S5_17_2,2,tri,,2+1LL_HTs,
新手链,S5_27_di_3,di_3,tri,,1+2MH_HTp,
采梅花,S5_3_1,1,tri,,1+2VO_HTs,
老杨梅,S5_8_3,3,tri,,1+2MH_LT,
小苦瓜,S5_34_2,2,tri,,1+2MH_HTs,
采杨梅,S5_15_3,3,tri,,1+2VO_HTs,
水牛毛,S5_25_2,2,tri,,2+1LL_HTs,
新皮鞋,S5_14_1,1,tri,,1+2MH_HTp,
买黄瓜,S5_18_1,1,tri,,1+2VO_LT,
新手链,S5_27_tri,tri,tri,,1+2MH_HTp,
小苦瓜,S5_34_di_3,di_3,tri,,1+2MH_HTs,
修门工,S5_7_tri,tri,tri,,2+1VL_HTp,
杨桃皮,S5_26_2,2,tri,,2+1LL_LT,
小水牛,S5_39_di_3,di_3,tri,,1+2MH_HTs,
买樱桃,S5_24_1,1,tri,,1+2VO_LT,
买杨梅,S5_32_1,1,tri,,1+2VO_LT,
修车工,S6_36_3,3,tri,,2+1VL_HTp,
造船厂,S6_28_3,3,tri,,2+1VL_LT,
买花人,S6_22_1,1,tri,,2+1VL_LT,
修车工,S6_36_di_3,di_3,tri,,2+1VL_HTp,
买茶人,S6_41_tri,tri,tri,,2+1VL_LT,
老青椒,S6_2_3,3,tri,,1+2MH_LT,
小苦瓜,S6_34_tri,tri,tri,,1+2MH_HTs,
买杨梅,S6_32_3,3,tri,,1+2VO_LT,
老黄瓜,S6_16_di_3,di_3,tri,,1+2MH_LT,
小樱桃,S6_37_1,1,tri,,1+2MH_HTs,
黄瓜籽,S6_11_3,3,tri,,2+1LL_LT,
